SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","Risk if Primary Control
Not Implemented",Possible Compensating Control #1,Compensating Control Name,Compensating Control #,Compensating Control Justification,Possible Compensating Control #2,Compensating Control Name,Compensating Control #,Compensating Control Justification
Separation of Maintenance Sessions,MNT-05.7,Mechanisms exist to protect maintenance sessions through replay-resistant sessions that are physically or logically separated communications paths from other network sessions.,"Without Separation of Maintenance Sessions, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",IAC-06,Multi-Factor Authentication (MFA),"Automated mechanisms exist to enforce Multi-Factor Authentication (MFA) for:
(1) Remote network access; 
(2) Third-party Technology Assets, Applications and/or Services (TAAS); and/ or
(3) Non-console access to critical TAAS that store, transmit and/or process sensitive/regulated data.","Multi-Factor Authentication (MFA) (IAC-06) provides access control enforcement that compensates for the absence of Separation of Maintenance Sessions (MNT-05.7) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CRY-06,Non-Console Administrative Access,Cryptographic mechanisms exist to protect the confidentiality and integrity of non-console administrative access.,"Non-Console Administrative Access (CRY-06) provides access control enforcement that compensates for the absence of Separation of Maintenance Sessions (MNT-05.7) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Authorized Maintenance Personnel,MNT-06,Mechanisms exist to maintain a current list of authorized maintenance organizations or personnel.,"Without Authorized Maintenance Personnel, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",IAC-21,Least Privilege,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Least Privilege (IAC-21) provides access control enforcement that compensates for the absence of Authorized Maintenance Personnel (MNT-06) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MNT-01,Maintenance Operations,"Mechanisms exist to develop, disseminate, review & update procedures to facilitate the implementation of maintenance controls across the enterprise.","Maintenance Operations (MNT-01) provides overlapping security capability that compensates for the absence of Authorized Maintenance Personnel (MNT-06) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Maintenance Personnel Without Appropriate Access,MNT-06.1,"Mechanisms exist to ensure the risks associated with maintenance personnel who do not have appropriate access authorizations, clearances or formal access approvals are appropriately mitigated.","Without Maintenance Personnel Without Appropriate Access, unauthorized users may gain access to systems or data, increasing risk of data breaches and insider threats.",MNT-01,Maintenance Operations,"Mechanisms exist to develop, disseminate, review & update procedures to facilitate the implementation of maintenance controls across the enterprise.","Maintenance Operations (MNT-01) provides overlapping security capability that compensates for the absence of Maintenance Personnel Without Appropriate Access (MNT-06.1) by addressing related risk objectives through an alternative control mechanism aligned with People applicability. Given the people-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAC-21,Least Privilege,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Least Privilege (IAC-21) provides access control enforcement that compensates for the absence of Maintenance Personnel Without Appropriate Access (MNT-06.1) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the people-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Non-System Related Maintenance,MNT-06.2,Mechanisms exist to ensure that non-escorted personnel performing non-IT maintenance activities in the physical proximity of systems have required access authorizations.,"Without Non-System Related Maintenance, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",IAC-21,Least Privilege,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Least Privilege (IAC-21) provides access control enforcement that compensates for the absence of Non-System Related Maintenance (MNT-06.2) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MNT-06,Authorized Maintenance Personnel,Mechanisms exist to maintain a current list of authorized maintenance organizations or personnel.,"Authorized Maintenance Personnel (MNT-06) provides overlapping security capability that compensates for the absence of Non-System Related Maintenance (MNT-06.2) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Maintain Configuration Control During Maintenance,MNT-07,Mechanisms exist to maintain proper physical security and configuration control over technology assets awaiting service or repair.,"Without Maintain Configuration Control During Maintenance, systems may operate with insecure settings or unauthorized changes, expanding the attack surface.",CFG-06,Configuration Enforcement,"Automated mechanisms exist to monitor, enforce and report on configurations for endpoint devices.","Configuration Enforcement (CFG-06) provides configuration hardening that compensates for the absence of Maintain Configuration Control During Maintenance (MNT-07) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CHG-02,Configuration Change Control,Mechanisms exist to govern the technical configuration change control processes.,"Configuration Change Control (CHG-02) provides configuration hardening that compensates for the absence of Maintain Configuration Control During Maintenance (MNT-07) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Field Maintenance,MNT-08,Mechanisms exist to securely conduct field maintenance on geographically deployed assets.,"Without Field Maintenance, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",PES-10,Delivery & Removal,Physical security mechanisms exist to isolate information processing facilities from points such as delivery and loading areas and other points to avoid unauthorized access.,"Delivery & Removal (PES-10) provides overlapping security capability that compensates for the absence of Field Maintenance (MNT-08) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MNT-01,Maintenance Operations,"Mechanisms exist to develop, disseminate, review & update procedures to facilitate the implementation of maintenance controls across the enterprise.","Maintenance Operations (MNT-01) provides overlapping security capability that compensates for the absence of Field Maintenance (MNT-08) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Off-Site Maintenance,MNT-09,Mechanisms exist to ensure off-site maintenance activities are conducted securely and the asset(s) undergoing maintenance actions are secured during physical transfer and storage while off-site.,"Without Off-Site Maintenance, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",MNT-05,Remote Maintenance,"Mechanisms exist to authorize, monitor and control remote, non-local maintenance and diagnostic activities.","Remote Maintenance (MNT-05) provides overlapping security capability that compensates for the absence of Off-Site Maintenance (MNT-09) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAC-06,Multi-Factor Authentication (MFA),"Automated mechanisms exist to enforce Multi-Factor Authentication (MFA) for:
(1) Remote network access; 
(2) Third-party Technology Assets, Applications and/or Services (TAAS); and/ or
(3) Non-console access to critical TAAS that store, transmit and/or process sensitive/regulated data.","Multi-Factor Authentication (MFA) (IAC-06) provides access control enforcement that compensates for the absence of Off-Site Maintenance (MNT-09) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Maintenance Validation,MNT-10,"Mechanisms exist to validate:
(1) Maintenance activities were appropriately performed according to the work order; and 
(2) Applicable security, compliance and resilience controls are operational.","Without Maintenance Validation, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",MON-01,Continuous Monitoring,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"Continuous Monitoring (MON-01) provides detective monitoring capability that compensates for the absence of Maintenance Validation (MNT-10) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CHG-06,Control Functionality Verification,"Mechanisms exist to verify the functionality of security, compliance and resilience controls following implemented changes to ensure applicable controls operate as designed.","Control Functionality Verification (CHG-06) provides overlapping security capability that compensates for the absence of Maintenance Validation (MNT-10) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Maintenance Monitoring,MNT-11,Mechanisms exist to maintain situational awareness of the quality and reliability of systems and components through tracking maintenance activities and component failure rates.,"Without Maintenance Monitoring, security events may go undetected, allowing threats to persist unnoticed and increasing breach dwell time.",MON-01,Continuous Monitoring,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"Continuous Monitoring (MON-01) provides detective monitoring capability that compensates for the absence of Maintenance Monitoring (MNT-11) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CHG-06,Control Functionality Verification,"Mechanisms exist to verify the functionality of security, compliance and resilience controls following implemented changes to ensure applicable controls operate as designed.","Control Functionality Verification (CHG-06) provides overlapping security capability that compensates for the absence of Maintenance Monitoring (MNT-11) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Centralized Management Of Mobile Devices,MDM-01,Mechanisms exist to implement and govern Mobile Device Management (MDM) controls.,"Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Access Control For Mobile Devices,MDM-02,"Mechanisms exist to enforce access control requirements for the connection of mobile devices to organizational Technology Assets, Applications and/or Services (TAAS).","Without Access Control For Mobile Devices, unauthorized users may gain access to systems or data, increasing risk of data breaches and insider threats.",IAC-20,Access Enforcement,"Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege.""","Access Enforcement (IAC-20) provides access control enforcement that compensates for the absence of Access Control For Mobile Devices (MDM-02) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",NET-14,Remote Access,"Mechanisms exist to define, control and review organization-approved, secure remote access methods.","Remote Access (NET-14) provides access control enforcement that compensates for the absence of Access Control For Mobile Devices (MDM-02) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Full Device & Container-Based Encryption,MDM-03,Cryptographic mechanisms exist to protect the confidentiality and integrity of information on mobile devices through full-device or container encryption.,"Without Full Device & Container-Based Encryption, sensitive data may be exposed to interception or unauthorized disclosure, resulting in confidentiality breaches.",CRY-05,Encrypting Data At Rest,Cryptographic mechanisms exist to prevent unauthorized disclosure of data at rest.,"Encrypting Data At Rest (CRY-05) provides cryptographic protection that compensates for the absence of Full Device & Container-Based Encryption (MDM-03) by ensuring data confidentiality and integrity through alternative technical means. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAC-21,Least Privilege,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Least Privilege (IAC-21) provides access control enforcement that compensates for the absence of Full Device & Container-Based Encryption (MDM-03) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Mobile Device Tampering,MDM-04,"Mechanisms exist to protect mobile devices from tampering through inspecting devices returning from locations that the organization deems to be of significant risk, prior to the device being connected to the organization's network.","Without Mobile Device Tampering, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",MON-01,Continuous Monitoring,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"Continuous Monitoring (MON-01) provides detective monitoring capability that compensates for the absence of Mobile Device Tampering (MDM-04) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",PES-05,Monitoring Physical Access,"Physical access control mechanisms exist to monitor for, detect and respond to physical security incidents.","Monitoring Physical Access (PES-05) provides detective monitoring capability that compensates for the absence of Mobile Device Tampering (MDM-04) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Remote Purging,MDM-05,Mechanisms exist to remotely purge selected information from mobile devices.,"Without Remote Purging, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",MDM-01,Centralized Management Of Mobile Devices,Mechanisms exist to implement and govern Mobile Device Management (MDM) controls.,"Centralized Management Of Mobile Devices (MDM-01) provides overlapping security capability that compensates for the absence of Remote Purging (MDM-05) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAC-01,Identity & Access Management (IAM),Mechanisms exist to facilitate the implementation of identification and access management controls.,"Identity & Access Management (IAM) (IAC-01) provides access control enforcement that compensates for the absence of Remote Purging (MDM-05) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Personally-Owned Mobile Devices,MDM-06,"Mechanisms exist to restrict the connection of personally-owned, mobile devices to organizational Technology Assets, Applications and/or Services (TAAS).","Without Personally-Owned Mobile Devices, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",MDM-01,Centralized Management Of Mobile Devices,Mechanisms exist to implement and govern Mobile Device Management (MDM) controls.,"Centralized Management Of Mobile Devices (MDM-01) provides overlapping security capability that compensates for the absence of Personally-Owned Mobile Devices (MDM-06) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-04,Software Usage Restrictions,Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.,"Software Usage Restrictions (CFG-04) provides overlapping security capability that compensates for the absence of Personally-Owned Mobile Devices (MDM-06) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Organization-Owned Mobile Devices,MDM-07,Mechanisms exist to prohibit the installation of non-approved applications or approved applications not obtained through the organization-approved application store.,"Without Organization-Owned Mobile Devices, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",MDM-01,Centralized Management Of Mobile Devices,Mechanisms exist to implement and govern Mobile Device Management (MDM) controls.,"Centralized Management Of Mobile Devices (MDM-01) provides overlapping security capability that compensates for the absence of Organization-Owned Mobile Devices (MDM-07) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-02,Secure Baseline Configurations,"Mechanisms exist to develop, document and maintain secure baseline configurations for Technology Assets, Applications and/or Services (TAAS) that are consistent with industry-accepted system hardening standards.","Secure Baseline Configurations (CFG-02) provides configuration hardening that compensates for the absence of Organization-Owned Mobile Devices (MDM-07) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Mobile Device Data Retention Limitations,MDM-08,Mechanisms exist to limit data retention on mobile devices to the smallest usable dataset and timeframe.,"Without Mobile Device Data Retention Limitations, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",DCH-18,Media & Data Retention,"Mechanisms exist to retain media and data in accordance with applicable statutory, regulatory and contractual obligations.","Media & Data Retention (DCH-18) provides overlapping security capability that compensates for the absence of Mobile Device Data Retention Limitations (MDM-08) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",DCH-09,System Media Sanitization,"Mechanisms exist to sanitize system media with the strength and integrity commensurate with the classification or sensitivity of the information prior to disposal, release out of organizational control or release for reuse.","System Media Sanitization (DCH-09) provides overlapping security capability that compensates for the absence of Mobile Device Data Retention Limitations (MDM-08) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Mobile Device Geofencing,MDM-09,Mechanisms exist to restrict the functionality of mobile devices based on geographic location.,"Without Mobile Device Geofencing, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",NET-15,Wireless Networking,Mechanisms exist to control authorized wireless usage and monitor for unauthorized wireless access.,"Wireless Networking (NET-15) provides network-level access restriction that compensates for the absence of Mobile Device Geofencing (MDM-09) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",PES-01,Physical & Environmental Protections,Mechanisms exist to facilitate the operation of physical and environmental protection controls.,"Physical & Environmental Protections (PES-01) provides physical access control that compensates for the absence of Mobile Device Geofencing (MDM-09) by preventing unauthorized physical interaction with systems and infrastructure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Separate Mobile Device Profiles,MDM-10,Mechanisms exist to enforce a separate device workspace on applicable mobile devices to separate work-related and personal-related applications and data.,"Without Separate Mobile Device Profiles, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CFG-03,Least Functionality,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Least Functionality (CFG-03) provides configuration hardening that compensates for the absence of Separate Mobile Device Profiles (MDM-10) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MDM-01,Centralized Management Of Mobile Devices,Mechanisms exist to implement and govern Mobile Device Management (MDM) controls.,"Centralized Management Of Mobile Devices (MDM-01) provides overlapping security capability that compensates for the absence of Separate Mobile Device Profiles (MDM-10) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
"Restricting Access To Authorized Technology Assets, Applications and/or Services (TAAS)",MDM-11,"Mechanisms exist to restrict the connectivity of unauthorized mobile devices from communicating with organizational Technology Assets, Applications and/or Services (TAAS).","Without Restricting Access To Authorized Technology Assets, Applications and/or Services (TAAS), security events may go undetected, allowing threats to persist unnoticed and increasing breach dwell time.",CFG-04,Software Usage Restrictions,Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.,"Software Usage Restrictions (CFG-04) provides overlapping security capability that compensates for the absence of Restricting Access To Authorized Technology Assets, Applications and/or Services (TAAS) (MDM-11) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",NET-03,Boundary Protection,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,"Boundary Protection (NET-03) provides network-level access restriction that compensates for the absence of Restricting Access To Authorized Technology Assets, Applications and/or Services (TAAS) (MDM-11) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Network Security Controls (NSC),NET-01,"Mechanisms exist to develop, govern & update procedures to facilitate the implementation of Network Security Controls (NSC).","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zero Trust Architecture (ZTA),NET-01.1,Mechanisms exist to treat all users and devices as potential threats and prevent access to data and resources until the users can be properly authenticated and their access authorized.,"Without Zero Trust Architecture (ZTA), residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",NET-03,Boundary Protection,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,"Boundary Protection (NET-03) provides network-level access restriction that compensates for the absence of Zero Trust Architecture (ZTA) (NET-01.1) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MON-01,Continuous Monitoring,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"Continuous Monitoring (MON-01) provides detective monitoring capability that compensates for the absence of Zero Trust Architecture (ZTA) (NET-01.1) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Layered Network Defenses,NET-02,Mechanisms exist to implement security functions as a layered structure that minimizes interactions between layers of the design and avoids any dependence by lower layers on the functionality or correctness of higher layers.,"Without Layered Network Defenses, network defenses are weakened, enabling lateral movement and exploitation of unprotected pathways.",NET-03,Boundary Protection,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,"Boundary Protection (NET-03) provides network-level access restriction that compensates for the absence of Layered Network Defenses (NET-02) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",END-02,Endpoint Protection Measures,"Mechanisms exist to protect the confidentiality, integrity, availability and safety of endpoint devices.","Endpoint Protection Measures (END-02) provides overlapping security capability that compensates for the absence of Layered Network Defenses (NET-02) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Denial of Service (DoS) Protection,NET-02.1,Automated mechanisms exist to protect against or limit the effects of denial of service attacks.,"Without Denial of Service (DoS) Protection, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",SEA-03,Defense-In-Depth (DiD) Architecture,Mechanisms exist to implement security functions as a layered structure minimizing interactions between layers of the design and avoiding any dependence by lower layers on the functionality or correctness of higher layers.,"Defense-In-Depth (DiD) Architecture (SEA-03) provides overlapping security capability that compensates for the absence of Denial of Service (DoS) Protection (NET-02.1) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",NET-03,Boundary Protection,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,"Boundary Protection (NET-03) provides network-level access restriction that compensates for the absence of Denial of Service (DoS) Protection (NET-02.1) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Guest Networks,NET-02.2,Mechanisms exist to implement and manage a secure guest network.,"Without Guest Networks, network defenses are weakened, enabling lateral movement and exploitation of unprotected pathways.",NET-03,Boundary Protection,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,"Boundary Protection (NET-03) provides network-level access restriction that compensates for the absence of Guest Networks (NET-02.2) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",NET-02,Layered Network Defenses,Mechanisms exist to implement security functions as a layered structure that minimizes interactions between layers of the design and avoids any dependence by lower layers on the functionality or correctness of higher layers.,"Layered Network Defenses (NET-02) provides network-level access restriction that compensates for the absence of Guest Networks (NET-02.2) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Cross Domain Solution (CDS),NET-02.3,Mechanisms exist to implement a Cross Domain Solution (CDS) to mitigate the specific security risks of accessing or transferring information between security domains.,"Without Cross Domain Solution (CDS), AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",END-02,Endpoint Protection Measures,"Mechanisms exist to protect the confidentiality, integrity, availability and safety of endpoint devices.","Endpoint Protection Measures (END-02) provides overlapping security capability that compensates for the absence of Cross Domain Solution (CDS) (NET-02.3) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",NET-03,Boundary Protection,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,"Boundary Protection (NET-03) provides network-level access restriction that compensates for the absence of Cross Domain Solution (CDS) (NET-02.3) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Boundary Protection,NET-03,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,"Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
